"Redacted sample of an Amazon unified transaction export. Order ids, settlement ids and
delivery locations removed; amounts and structure are as Amazon produced them."
"Definitions:"
date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total,Transaction Status,Transaction Release Date
1 Jul 2026 8:56:34 am UTC,,Order,,VW-H1GL-KTOZ- hcore Knee,Heatronics Heating Pad for Knee Pain (Digital) | 5 Heat Levels + SafeHeatTM Auto Shut-Off | ThermoSyncTM Sensor Control | TheraFlexTM 6-Layer Build |,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Amazon,,KARNATAKA,,"1,523.80",0,0,0,76.20,-3.81,-3.81,0,-1.53,-141.60,-130.98,-61.36,0,"1,256.91",Released,8 Jul 2026 3:59:08 pm UTC
1 Jul 2026 1:13:44 pm UTC,,Order,,VW-H1GL-KTOZ- hcore Knee,Heatronics Heating Pad for Knee Pain (Digital) | 5 Heat Levels + SafeHeatTM Auto Shut-Off | ThermoSyncTM Sensor Control | TheraFlexTM 6-Layer Build |,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Amazon,,TELANGANA,,"1,523.80",0,0,0,76.20,-3.81,-3.81,0,-1.54,-141.60,-130.98,-61.36,0,"1,256.90",Released,9 Jul 2026 6:11:44 am UTC
2 Jul 2026 8:00:44 am UTC,,Order,,KO-0KH0-SWWZ-FBM,Heatronics Cervical Heating Pad (Analog) | 3 Heat Levels | ThermoLockTM Control | TheraFlexTM 6-Layer Safety Build | Neck & Shoulder Pain Relief | ISO,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,CHHATTISGARH,,"1,904.76",0,0,0,95.24,0,0,-9.52,-1.92,-177.00,0,-89.68,0,"1,721.88",Released,13 Jul 2026 10:04:02 pm UTC
2 Jul 2026 8:00:51 am UTC,,Order,,KO-0KH0-SWWZ-FBM,Heatronics Cervical Heating Pad (Analog) | 3 Heat Levels | ThermoLockTM Control | TheraFlexTM 6-Layer Safety Build | Neck & Shoulder Pain Relief | ISO,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,ASSAM,,"1,904.76",0,0,0,95.24,0,0,-9.52,-1.91,-177.00,0,-89.68,0,"1,721.89",Released,13 Jul 2026 5:41:33 am UTC
1 Jul 2026 3:20:35 am UTC,,Refund,,KO-0KH0-SWWZ-FBM,Heatronics Cervical Heating Pad (Analog) | 3 Heat Levels | ThermoLockTM Control | TheraFlexTM 6-Layer Safety Build | Neck & Shoulder Pain Relief | ISO,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,MADHYA PRADESH,,"-1,904.76",0,0,0,-95.24,0,0,9.52,0,177.00,0,89.68,0,"-1,723.80",Released,15 Jul 2026 12:16:39 am UTC
1 Jul 2026 7:22:26 am UTC,,Refund,,QC-WTL4-DIWU-FBM,Heatronics Heating Pad for Knee Pain (Analog) | 3 Heat Levels | ThermoLockTM Thermostat Control | TheraFlexTM 6-Layer Build | Knee Heating Pad for Art,1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,RAJASTHAN,,-857.14,0,0,0,-42.86,0,0,4.29,0,-112.10,0,0,0,"-1,007.81",Released,1 Jul 2026 7:22:26 am UTC
30 Jun 2026 10:50:55 pm UTC,,Adjustment,,Q6-0JD4-RPXK,FBA Inventory Reimbursement - Customer Service Issue,1,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,321.86,321.86,Released,30 Jun 2026 10:50:55 pm UTC
4 Jul 2026 7:54:24 am UTC,,Transfer,,,To account ending with: 073,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-73,898.34","-73,898.34",Released,4 Jul 2026 7:54:24 am UTC
30 Jun 2026 7:35:43 pm UTC,,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,073.06",-373.15,"-2,446.21",Released,30 Jun 2026 7:35:43 pm UTC
30 Jun 2026 11:32:42 pm UTC,,FBA Transaction fees,,,FBA Removal Order: Return Fee,,Amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,-35.40,0,0,-35.40,Released,30 Jun 2026 11:32:42 pm UTC
