"Product title","Product vendor","Product type","Product variant SKU","Net items sold","Gross sales","Discounts","Sales reversals","Net sales","Taxes","Total sales"
"Knee Heating Pad","heatronics","Heating Pad","HCORE-KNEE",302,555795,-37581.68,-35396.41,482816.91,24139.67,506956.58
"Neck Heating Pad","heatronics","Heating Pad","HCORE-NECK",118,327496.1,-34832.32,-26087.64,266576.14,13339.88,279916.02
"Heating Pad for Back Pain","heatronics","Heating Pad",,95,178442.57,-9757.57,-21020.45,147664.55,7385.27,155049.82
"Cervical Heating Pad for Stiff Neck & Frozen Shoulder – Analog by Heatronics","heatronics","Heating Pad",,65,143999.29,-11395.45,-24916.46,107687.38,5384.52,113071.9
"Cervical Heating Pad for Stiff Neck & Frozen Shoulder – Digital by Heatronics","heatronics","Heating Pad",,18,65871.27,-4757.52,-23282.15,37831.6,1891.58,39723.18
"Heating Pad for Period Pain","heatronics","Heating Pad",,24,38152.18,-3360.41,-5443.8,29347.97,1467.43,30815.4
"Foot Warmer for Cold Feet","heatronics","Foot Warmer","HCORE-FOOT",13,31967.41,-4438.55,0,27528.86,1385.91,28914.77
"Heated Backrest","heatronics","Heated Backrest","HCORE-REST",11,38942.81,-6760.09,-4792.9,27389.82,1369.5,28759.32
"Back Pain Heating Pad, Large Coverage | hCore X-L Lite","heatronics","Heating Pad","HCORE-XL-LITE",21,31238.06,-2377.4,-4626.86,24233.8,1211.63,25445.43
"Period Pain Heating Pad for Cramps | hCore X Lite","heatronics","Heating Pad","HCORE-X-LITE",29,29777.85,-3442.75,-3273.35,23061.75,1153.17,24214.92
"Single Bed Warmer","heatronics","Bed Warmer","HCORE-BED-SOLO",8,24304.71,-3396.74,0,20907.97,1045.41,21953.38
"Extra Large Heating Pad for Full Body Relief – Digital by Heatronics","heatronics","Heating Pad",,14,39642.72,-3924.79,-15197.81,20520.12,1026.03,21546.15
"Extra Large Heating Pad for Back & Shoulder – Analog by Heatronics","heatronics","Heating Pad",,16,35656.98,-4038.61,-16183.09,15435.28,771.75,16207.03
"Heating Pad for Period and Back – Regular Size, Analog by Heatronics","heatronics","Heating Pad",,11,12814.2,-1302.69,-1726.66,9784.85,489.25,10274.1
"Knee Heating Pad for Joint & Arthritis – Analog by Heatronics","heatronics","Heating Pad",,6,8228.54,-587.88,-1851.43,5789.23,289.47,6078.7
"Single Bed Heating Blanket with Auto-Cutoff – Digital by Heatronics","heatronics","Bed Warmer",,1,2742.85,-190.47,0,2552.38,127.62,2680
"Single Bed Warmer for Winters – Analog by Heatronics","heatronics","Bed Warmer",,1,2271.43,-322.38,0,1949.05,97.45,2046.5
"Foot Warmer Heating Pad for Cold Feet – Analog by Heatronics","heatronics","Foot Warmer",,1,1800,-474.07,0,1325.93,66.29,1392.22
"Knee Heating Pad with Temperature Control – Digital by Heatronics","heatronics","Heating Pad",,0,4499.99,-847.72,-4050,-397.73,-19.89,-417.62
"Heating Pad for Period & Back – Regular Size, Digital by Heatronics","heatronics","Heating Pad",,-1,0,0,-1311.42,-1311.42,-65.58,-1377
"Foot Warmer with Auto-Cutoff – Digital by Heatronics","heatronics","Foot Warmer",,-1,0,0,-1880.75,-1880.75,-94.03,-1974.78
